ID;Button;Translate
1054;Cbl_sat;
1055;COOL MODE;
1056;CH_NET_TYPE;
1057;CH LIST;
1058;CCD;
1059;CALL;
1060;Bulb;
1061;Brightness-;Bright-
1062;Brightness+;Bright+
1063;Bookmark;
1064;Blue_circle;
1065;Blue/D;
1066;Blue UP;
1067;Blue DOWN;
1068;Bixby;
1069;Bass_dwn;
1070;Bass-;
1071;Bass+;
1072;Balance Right;BALANCE_R
1073;Balance Left;
1074;Backspace;
1075;Baby Blue;
1076;B_up;
1077;B_down;Down
1078;BT_Pair;
1079;BT pairing;
1080;BD;
1081;B-;
1082;B+;
1083;Asyn_fade;
1084;ArrowUp;Up
1085;Aquamarine;
1086;Apricot;
1087;All;
1088;Album -;
1089;Album +;
1090;Again;
1091;Add;
1092;Ad/Subt.;
1093;Active;
1094;Action;
1095;A_b;
1096;ARC;
1097;AM;
1098;ADJ;
1099;AD;
1100;A3;
1101;A2;
1102;A1;
1103;>|;
1104;>10;
1105;50%;
1106;5.1 ch;
1107;3h;
1108;3H;
1109;25;
1110;24;
1111;23;
1112;22;
1113;1ST_CH;
1114;1H;
1115;1500W;
1116;123;
1117;100%;
1118;yellow;
1119;y_sun;
1120;ww;
1121;woof_up;
1122;woof_down;
1123;wide;
1124;vol_up;Vol_up
1125;vol_down;Vol_dn
1126;txt;
1127;titlelist;
1128;timer_4;
1129;timer_2;
1130;timer_1;
1131;temp_30;
1132;sys;
1133;still;
1134;src/USB;
1135;src/Search;
1136;src/LAN;
1137;src/HDMI;
1138;src/Computer;
1139;spin;
1140;speed_5;
1141;speed_4;
1142;speed_3;
1143;speed_2;
1144;speed_1;
1145;slower;
1146;sleep;
1147;settings;
1148;screenshot;
1149;rr;
1150;rotate;
1151;rgb_cycle;
1152;rewind;
1153;reverse;Reverse
1154;red_sun;
1155;power_off;Power_Off
1156;plusv;
1157;pause_play;Pause
1158;on_off;Power
1159;o;
1160;nw;
1161;night;
1162;mute;Mute
1163;mode;Mode
1164;led_toggle;
1165;led_color;
1166;led-;
1167;led+;
1168;lang;
1169;info;Info
1170;iPod;
1171;i-manual;
1172;i-Manual;
1173;i+;
1174;i(nfo);
1175;guide;
1176;fw;
1177;freeze;
1178;foto;
1179;fire_timer;
1180;fire_power;
1181;fire_heat;
1182;fire_flame;
1183;ffw;
1184;ff;
1185;fastforward;Forward
1186;faster;
1187;fan_up;
1188;fan_dwn;
1189;fan_OFF;
1190;ez POWER OFF;
1191;exit;Exit
1192;eHELP;
1193;downv;Down
1194;dimmer;
1195;dSetup;
1196;cw;
1197;ctouch;
